"Service domain","Address","Service url","Country","Version","# Chains","Status","Scanned Block Height","Balance (POKT)","Stake Type","Output Address","Output Balance (POKT)","Stake Weight","Stake Amount (POKT)","Validator","Jailed","Jailed","Pending Relays","Est. Pending Rewards","Stake From","Missing Blocks","Jailed Blocks","Jailed Until","Unstaking Time"
"node-river-001.com","6a715b3e675dcf78029486b04adf887894f06e89","https://mr003.node-river-001.com:443","United States","RC-0.9.1.1
",12,"Staked",74620,1401.4179,"Custodial","6a715b3e675dcf78029486b04adf887894f06e89",1401.4179,2.362669816893089,79999.92,"Yes","No","No",97517,210.9201,69218,0,0,"Sep 6, 2022 2:47 AM","Jan 1, 0001 12:00 AM"
"node-river-001.com","a48fa6d405ff2f611aca3a1e43aa783dd9cb049a","https://mr002.node-river-001.com:443","United States","RC-0.9.1.1
",12,"Staked",74620,1754.7851,"Custodial","a48fa6d405ff2f611aca3a1e43aa783dd9cb049a",1754.7851,2.362669816893089,79999.92,"Yes","No","No",33347,72.1264,69218,0,0,"Sep 6, 2022 2:47 AM","Jan 1, 0001 12:00 AM"
"node-river-001.com","c543dbfff0f3b390883982305b0508fa4d34e343","https://mr009.node-river-001.com:443","United States","RC-0.9.1.1
",12,"Staked",74620,2381.9289,"Custodial","c543dbfff0f3b390883982305b0508fa4d34e343",2381.9289,2.362669816893089,79999.92,"Yes","No","No",35582,76.9605,69218,0,0,"Sep 6, 2022 2:47 AM","Jan 1, 0001 12:00 AM"
"node-river-001.com","cc59c82476e112a09946d0a40e7839ffd6a7c317","https://mr007.node-river-001.com:443","United States","RC-0.9.1.1
",12,"Staked",74620,964.0809,"Custodial","cc59c82476e112a09946d0a40e7839ffd6a7c317",964.0809,2.362669816893089,79999.92,"Yes","No","No","-","-",69218,0,0,"Sep 6, 2022 2:47 AM","Jan 1, 0001 12:00 AM"
"node-river-001.com","f82cc9471b67fbc4b432600c8a9041a4311e4b7d","https://mr008.node-river-001.com:443","United States","RC-0.9.1.1
",12,"Staked",74620,1728.5477,"Custodial","f82cc9471b67fbc4b432600c8a9041a4311e4b7d",1728.5477,2.362669816893089,79999.92,"Yes","No","No",39344,85.0974,69218,0,0,"Sep 6, 2022 2:47 AM","Jan 1, 0001 12:00 AM"
"node-river-001.com","036b55c5e4d98dc40678bd188d86e1f3a1502616","https://mr010.node-river-001.com:443","United States","RC-0.9.1.1
",12,"Staked",74620,1678.0088,"Custodial","036b55c5e4d98dc40678bd188d86e1f3a1502616",1678.0088,2.362669816893089,79999.92,"Yes","No","No",4575,9.8953,69218,0,0,"Sep 6, 2022 2:47 AM","Jan 1, 0001 12:00 AM"
"node-river-001.com","0713e1559e039f449b588b5e799b7b7c46bb8a25","https://mr016.node-river-001.com:443","United States","RC-0.9.1.1
",12,"Staked",74620,1560.1664,"Custodial","0713e1559e039f449b588b5e799b7b7c46bb8a25",1560.1664,2.362669816893089,79999.92,"Yes","No","No",13,0.0281,69219,0,0,"Sep 6, 2022 2:47 AM","Jan 1, 0001 12:00 AM"
"node-river-001.com","134b373ef0f723c7225badb88c76c60408da3890","https://mr014.node-river-001.com:443","United States","RC-0.9.1.1
",12,"Staked",74620,1401.8635,"Custodial","134b373ef0f723c7225badb88c76c60408da3890",1401.8635,2.362669816893089,79999.92,"Yes","No","No",35425,76.6209,69219,0,0,"Sep 6, 2022 2:47 AM","Jan 1, 0001 12:00 AM"
"node-river-001.com","1a6e149e3e1c1f7a26167ac6e2e4c5f02045cb96","https://mr012.node-river-001.com:443","United States","RC-0.9.1.1
",12,"Staked",74620,2492.7619,"Custodial","1a6e149e3e1c1f7a26167ac6e2e4c5f02045cb96",2492.7619,2.362669816893089,79999.92,"Yes","No","No",38468,83.2027,69219,0,0,"Sep 6, 2022 2:47 AM","Jan 1, 0001 12:00 AM"
"node-river-001.com","47170240dd2ae77e1f77a9cc0f8761fd8980556e","https://mr017.node-river-001.com:443","United States","RC-0.9.1.1
",12,"Staked",74620,2955.9146,"Custodial","47170240dd2ae77e1f77a9cc0f8761fd8980556e",2955.9146,2.362669816893089,79999.92,"Yes","No","No","-","-",69219,0,0,"Sep 6, 2022 2:47 AM","Jan 1, 0001 12:00 AM"
"node-river-001.com","6b74ec18049c270bd589d43d3816a15ebf08a7c7","https://mr013.node-river-001.com:443","United States","RC-0.9.1.1
",12,"Staked",74620,1718.6721,"Custodial","6b74ec18049c270bd589d43d3816a15ebf08a7c7",1718.6721,2.362669816893089,79999.92,"Yes","No","No","-","-",69219,0,0,"Sep 6, 2022 2:47 AM","Jan 1, 0001 12:00 AM"
"node-river-001.com","6e3f81a427b7d6f93321b9b44be555f03f3e526b","https://mr020.node-river-001.com:443","Germany","RC-0.9.1.1
",12,"Staked",74620,1859.2049,"Custodial","6e3f81a427b7d6f93321b9b44be555f03f3e526b",1859.2049,2.362669816893089,79999.92,"Yes","No","No",31672,68.5036,69219,0,0,"Sep 6, 2022 2:47 AM","Jan 1, 0001 12:00 AM"
"node-river-001.com","b83e79abd89ad3866f5b9cb61f4f8df3e6e91adf","https://mr011.node-river-001.com:443","United States","unknown",12,"Staked",74620,1603.0118,"Custodial","b83e79abd89ad3866f5b9cb61f4f8df3e6e91adf",1603.0118,2.362669816893089,79999.92,"Yes","No","No",6345,13.7236,69219,0,0,"Sep 6, 2022 2:47 AM","Jan 1, 0001 12:00 AM"
"node-river-001.com","cd29caebc9e754c56a4417f81ad75bf3db6dabcb","https://mr015.node-river-001.com:443","United States","RC-0.9.1.1
",12,"Staked",74620,1701.8991,"Custodial","cd29caebc9e754c56a4417f81ad75bf3db6dabcb",1701.8991,2.362669816893089,79999.92,"Yes","No","No",74744,161.6643,69219,0,0,"Sep 6, 2022 2:47 AM","Jan 1, 0001 12:00 AM"
"node-river-001.com","cd7ed051049dfdf158ee0f7578de93f724239483","https://mr018.node-river-001.com:443","United States","RC-0.9.1.1
",12,"Staked",74620,1162.6809,"Custodial","cd7ed051049dfdf158ee0f7578de93f724239483",1162.6809,2.362669816893089,79999.92,"Yes","No","No",32306,69.8748,69219,0,0,"Sep 6, 2022 2:47 AM","Jan 1, 0001 12:00 AM"
"node-river-001.com","fac8b7b52e3be5a685c5c9ae96da247fdfd8b925","https://mr019.node-river-001.com:443","United States","RC-0.9.1.1
",12,"Staked",74620,1816.3082,"Custodial","fac8b7b52e3be5a685c5c9ae96da247fdfd8b925",1816.3082,2.362669816893089,79999.92,"Yes","No","No",12197,26.381,69219,0,0,"Sep 6, 2022 2:47 AM","Jan 1, 0001 12:00 AM"
"node-river-001.com","b6c676efb6dc4754b84ac1874a4a42862a7a14f9","https://mr021.node-river-001.com:443","Germany","RC-0.9.1.1
",12,"Staked",74620,2087.2808,"Custodial","b6c676efb6dc4754b84ac1874a4a42862a7a14f9",2087.2808,2.362669816893089,79999.92,"Yes","No","No",69419,150.1468,69219,0,0,"Sep 6, 2022 2:47 AM","Jan 1, 0001 12:00 AM"
"node-river-001.com","c6f59006cc3c58f18eac699e5fd774f9c1124d77","https://mr022.node-river-001.com:443","United States","RC-0.9.1.1
",12,"Staked",74620,2464.6748,"Custodial","c6f59006cc3c58f18eac699e5fd774f9c1124d77",2464.6748,2.362669816893089,79999.92,"Yes","No","No","-","-",69219,0,0,"Sep 6, 2022 2:47 AM","Jan 1, 0001 12:00 AM"
"node-river-001.com","5c2dbac045c4f73cf25cf938852e1b22b9911664","https://mr025.node-river-001.com:443","United States","RC-0.9.1.1
",12,"Staked",74620,1240.9589,"Custodial","5c2dbac045c4f73cf25cf938852e1b22b9911664",1240.9589,2.362669816893089,79999.92,"Yes","No","No",30788,66.5915,69219,0,0,"Sep 6, 2022 2:47 AM","Jan 1, 0001 12:00 AM"
"node-river-001.com","74d2f9588a6a5f687646d0646d9961c42dc18c6a","https://mr023.node-river-001.com:443","Germany","RC-0.9.1.1
",12,"Staked",74620,2162.9415,"Custodial","74d2f9588a6a5f687646d0646d9961c42dc18c6a",2162.9415,2.362669816893089,79999.92,"Yes","No","No",43902,94.9559,69219,0,0,"Sep 6, 2022 2:47 AM","Jan 1, 0001 12:00 AM"
"node-river-001.com","83672e114f95880b1ab2e9c84dc4122bef0af269","https://mr024.node-river-001.com:443","United States","RC-0.9.1.1
",12,"Staked",74620,1276.0205,"Custodial","83672e114f95880b1ab2e9c84dc4122bef0af269",1276.0205,2.362669816893089,79999.92,"Yes","No","No",4510,9.7547,69219,0,0,"Sep 6, 2022 2:47 AM","Jan 1, 0001 12:00 AM"
"easy2stake.com","d7938daa780be40f215b361ff4cc77993d6c8d77","https://pocketv16.easy2stake.com:443","United States","RC-0.9.1.1",15,"Staked",74620,2004.3235,"Custodial","d7938daa780be40f215b361ff4cc77993d6c8d77",2004.3235,2.362669816893089,65000,"Yes","No","No","-","-",73836,0,0,"Jan 1, 0001 12:00 AM","Jan 1, 0001 12:00 AM"
"easy2stake.com","f277d60c828f0ad45cf42d8a0fcff31cd5bfa173","https://pocketv17.easy2stake.com:443","United States","RC-0.9.1.1",15,"Staked",74620,3428.4583,"Custodial","f277d60c828f0ad45cf42d8a0fcff31cd5bfa173",3428.4583,2.362669816893089,65000,"Yes","No","No","-","-",73836,0,0,"Jan 1, 0001 12:00 AM","Jan 1, 0001 12:00 AM"
"easy2stake.com","cf394f6c2f05d24d47519c4b3ade2d43b85591a1","https://pocketv18.easy2stake.com:443","United States","ALPHA-0.9.2",15,"Staked",74620,2026.2946,"Custodial","cf394f6c2f05d24d47519c4b3ade2d43b85591a1",2026.2946,2.362669816893089,63999.936,"Yes","No","No","-","-",73244,0,0,"Oct 14, 2022 9:48 AM","Jan 1, 0001 12:00 AM"
"qspider.com","efc7268ad834c287486bbd9a99c95e9867a1b72d","https://mattox01.qspider.com:443","United States","RC-0.9.1.1",15,"Staked",74620,36053.3839,"Custodial","efc7268ad834c287486bbd9a99c95e9867a1b72d",36053.3839,2.362669816893089,150000,"Yes","No","No","-","-",72801,0,0,"Jan 1, 0001 12:00 AM","Jan 1, 0001 12:00 AM"
